Model_name,Price,Manufacturer,Condition,Type,Distance,Color,Body_type,Fuel_type,Engine_cc
شيفروليه كابتيفا 2011,"600,000 ج.م.",شيفروليه,مستعملة,أوتوماتيك,"200,000 كم",Gray,Hatchback,Gas,3200.0
مرسيدس GLC 200 2025,"5,100,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,SUV,Gas,2000.0
مرسيدس C180 2026,"3,750,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,White,Sedan,Gas,1500.0
بي ام دبليو 320i 2016,"1,550,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"140,000 كم",Brown,Sedan,Gas,2000.0
بي ام دبليو 118i 2021,"1,400,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"47,000 كم",Blue,Hatchback,Gas,1500.0
كيا سبورتاج 2024,"1,925,000 ج.م.",كيا,مستعملة,أوتوماتيك,"19,600 كم",Gray,SUV,Gas,1600.0
سيات توليدو 2015,"595,000 ج.م.",سيات,مستعملة,أوتوماتيك,"195,000 كم",Maroon,Sedan,Diesel,1600.0
تويوتا كورولا 2021,"1,050,000 ج.م.",تويوتا,مستعملة,أوتوماتيك,"160,000 كم",Black,Sedan,Gas,1600.0
شيري اريزو 5 2021,"600,000 ج.م.",شيري,مستعملة,مانيوال,"320,000 كم",White,Sedan,Hybrid,1500.0
شيفروليه ماليبو 2019,"1,300,000 ج.م.",شيفروليه,مستعملة,أوتوماتيك,"14,000 كم",Blue,Sedan,Gas,1500.0
سكودا كودياك 2026,"2,700,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Gray,SUV,Gas,1400.0
شيفروليه اوبترا 2026,"750,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1500.0
مرسيدس B150 2007,"480,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"159,000 كم",Gray,Hatchback,Gas,1500.0
بورش كايين S 2009,"500,000 ج.م.",بورش,مستعملة,أوتوماتيك,"118,000 كم",Silver,SUV,Gas,4800.0
فولكس فاجن تيجوان 2014,"835,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"198,000 كم",Gray,SUV,Gas,1400.0
مرسيدس C180 2023,"3,650,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"23,890 كم",White,Cabriolet,Gas,1600.0
بي ام دبليو 318i 2019,"1,200,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"175,000 كم",Black,Sedan,Gas,1500.0
بيجو 408 2025,"2,000,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"3,200 كم",Gray,SUV,Gas,1600.0
شيفروليه اوبترا 2018,"400,000 ج.م.",شيفروليه,مستعملة,أوتوماتيك,"130,000 كم",Black,Sedan,Gas,1500.0
مرسيدس GLC 200 2020,"3,250,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"56,000 كم",White,Coupe,Hybrid,2000.0
تويوتا ياريس 2008,"450,000 ج.م.",تويوتا,مستعملة,أوتوماتيك,"165,000 كم",Red,Sedan,Gas,1300.0
بي ام دبليو 730Li 2021,"4,900,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"20,000 كم",,,,
فولكس فاجن باسات 2022,"2,250,000 ج.م.",فولكس فاجن,جديدة,أوتوماتيك,,Navy Blue,Sedan,Gas,1400.0
نيسان سنترا 2016,"520,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"187,000 كم",Bronze,Sedan,Gas,1600.0
