Model_name,Price,Manufacturer,Condition,Type,Distance,Color,Body_type,Fuel_type,Engine_cc
مرسيدس C200 2014,"1,100,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"320,000 كم",Black,Sedan,Gas,1800.0
بي ام دبليو 740i 2025,"10,000,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"5,500 كم",Black,Sedan,Gas,3000.0
مرسيدس C180 2020,"2,400,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"76,000 كم",Gray,Sedan,Gas,1500.0
بيجو 301 2015,"460,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"160,000 كم",Silver,Sedan,Gas,1600.0
فيات 500C 2016,"620,000 ج.م.",فيات,مستعملة,أوتوماتيك,"140,000 كم",Black,Hatchback,Gas,1400.0
مرسيدس E200 2021,"4,000,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"8,000 كم",Black,Sedan,Gas,2000.0
أودي A6 2023,"3,200,000 ج.م.",أودي,مستعملة,أوتوماتيك,"45,000 كم",Black,Sedan,Gas,2000.0
إم جي ZS 2024,"900,000 ج.م.",إم جي,مستعملة,أوتوماتيك,"5,000 كم",,,,
جي إيه سي إم زووم 2026,"1,055,000 ج.م.",جي إيه سي,جديدة,أوتوماتيك,,Gray,SUV,Gas,1500.0
جي إيه سي GS4 Max 2026,"1,350,000 ج.م.",جي إيه سي,جديدة,أوتوماتيك,,Gray,SUV,Gas,1500.0
جي إيه سي إمباو 2026,"995,000 ج.م.",جي إيه سي,جديدة,أوتوماتيك,,Green,Sedan,Gas,1500.0
شيري تيجو 4 برو 2025,"880,000 ج.م.",شيري,مستعملة,أوتوماتيك,"15,000 كم",Black,SUV,Gas,1500.0
مرسيدس C180 2013,"1,300,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"180,000 كم",Silver,Sedan,Gas,1600.0
هيونداى توسان 2021,"1,350,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"102,000 كم",White,SUV,Gas,1600.0
كايي X3 Pro 2026,"909,000 ج.م.",كايي,جديدة,أوتوماتيك,,Blue,SUV,Gas,1500.0
مرسيدس GLE 450 2023,"6,000,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"19,500 كم",Gray,SUV,Gas,3000.0
شانجان إيدو 2026,"1,000,000 ج.م.",شانجان,جديدة,أوتوماتيك,,Bronze,Sedan,Gas,1500.0
مرسيدس GLC 200 2025,"4,750,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,SUV,Gas,1500.0
سكودا كودياك 2022,"1,900,000 ج.م.",سكودا,مستعملة,أوتوماتيك,"78,000 كم",Blue,SUV,Gas,1400.0
بي ام دبليو 530i 2019,"2,500,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"70,000 كم",White,Sedan,Gas,2000.0
مرسيدس C180 2025,"3,250,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Dark Grey,Sedan,Gas,1500.0
أودي Q3 2021,"1,700,000 ج.م.",أودي,مستعملة,أوتوماتيك,"123,000 كم",Silver,Hatchback,Gas,1400.0
سوزوكي إسبريسو 2025,"641,350 ج.م.",سوزوكي,جديدة,أوتوماتيك,,Blue,Hatchback,Gas,1000.0
فيات سيينا 2008,"165,000 ج.م.",فيات,مستعملة,مانيوال,"150,000 كم",Maroon,Sedan,Gas,1500.0
فولكس فاجن باسات 2022,"1,600,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"35,000 كم",Blue,Sedan,Gas,1400.0
مرسيدس GLC 300 COUPE 2026,"5,500,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Coupe,Gas,2000.0
رينج روفر VOGUE 2025,"16,000,000 ج.م.",رينج روفر,جديدة,أوتوماتيك,,Black,SUV,Gas,4000.0
رينج روفر ايفوك 2026,"4,000,000 ج.م.",رينج روفر,جديدة,أوتوماتيك,,Silver,SUV,Hybrid,2000.0
بورش ماكان 2024,"4,200,000 ج.م.",بورش,جديدة,أوتوماتيك,,Black,SUV,Gas,3000.0
رينج روفر ايفوك 2026,"4,000,000 ج.م.",رينج روفر,جديدة,أوتوماتيك,,White,SUV,Hybrid,2000.0
جيتور داشينج 2026,"1,445,000 ج.م.",جيتور,جديدة,أوتوماتيك,,Black,SUV,Gas,1600.0
بورش ماكان 2026,"5,650,000 ج.م.",بورش,جديدة,أوتوماتيك,,Black,SUV,Gas,2000.0
دي إس DS 4 2023,"1,750,000 ج.م.",دي إس,جديدة,أوتوماتيك,,Red,Hatchback,Gas,1600.0
ميتسوبيشي باجيرو 2018,"2,500,000 ج.م.",ميتسوبيشي,مستعملة,أوتوماتيك,"47,000 كم",Gray,SUV,Gas,3800.0
بي ام دبليو 320i 2026,"3,300,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"6,000 كم",Blue,Sedan,Gas,1600.0
بي ام دبليو X1 2025,"3,100,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,600 كم,Silver,SUV,Gas,1500.0
مرسيدس B 200 2023,"2,200,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,400 كم,Black,Hatchback,Gas,1500.0
إم جي HS 2026,"1,610,950 ج.م.",إم جي,جديدة,أوتوماتيك,,White,SUV,Hybrid,1500.0
إم جي HS 2026,"1,650,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Black,SUV,Gas,1500.0
بي ام دبليو iX3 2024,"2,600,000 ج.م.",بي ام دبليو,جديدة,أوتوماتيك,,Blue,SUV,Electric,
بايك U5 Plus 2025,"853,073 ج.م.",بايك,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1500.0
شيفروليه اوبترا 2026,"742,350 ج.م.",شيفروليه,جديدة,أوتوماتيك,,White,Sedan,Gas,1500.0
بيجو 2008 2021,"850,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"118,000 كم",Black,SUV,Diesel,1200.0
لاند روفر رانج روفر 2024,"5,000,000 ج.م.",لاند روفر,مستعملة,أوتوماتيك,"8,000 كم",Gray,SUV,Gas,2000.0
مرسيدس E200 2022,"5,600,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"60,000 كم",Gray,Sedan,Gas,2000.0
مرسيدس GLS 580 2024,"8,050,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"20,094 كم",Black,SUV,Gas,4000.0
سكودا اوكتافيا 2007,"530,000 ج.م.",سكودا,مستعملة,أوتوماتيك,"176,000 كم",Baby Blue,Sedan,Gas,1600.0
سكودا كودياك 2025,"3,000,000 ج.م.",سكودا,جديدة,أوتوماتيك,,White,SUV,Gas,1400.0
إم جي 5 2026,"890,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Red,Sedan,Gas,1500.0
إم جي 5 2026,"893,850 ج.م.",إم جي,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1500.0
تويوتا فورتشنر 2026,"3,535,000 ج.م.",تويوتا,جديدة,أوتوماتيك,,Gray,SUV,Gas,4000.0
تويوتا bZ3X 2025,"1,605,900 ج.م.",تويوتا,جديدة,أوتوماتيك,,White,SUV,Electric,
فيات تيبو 2022,"900,000 ج.م.",فيات,مستعملة,أوتوماتيك,"35,000 كم",Gray,Sedan,Diesel,1600.0
شانجان CS55 بلس 2026,"1,181,700 ج.م.",شانجان,جديدة,أوتوماتيك,,Black,SUV,Gas,1500.0
بي ام دبليو 740i 2020,"3,500,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"157,000 كم",Navy Blue,Sedan,Gas,3000.0
هيونداى اكسل 1997,"125,000 ج.م.",هيونداى,مستعملة,مانيوال,"99,999 كم",Baby Blue,Sedan,Gas,1300.0
بيجو 301 2018,"590,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"275,000 كم",Champagne,Sedan,Diesel,1600.0
مرسيدس EQA 260 2025,"1,950,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,White,SUV,Electric,
مرسيدس EQA 260 2025,"2,175,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Gray,SUV,Electric,
مازدا 3 2008,"520,000 ج.م.",مازدا,مستعملة,أوتوماتيك,"85,000 كم",Gray,Sedan,Gas,1600.0
رينج روفر VOGUE 2018,"5,500,000 ج.م.",رينج روفر,مستعملة,أوتوماتيك,"130,000 كم",Gray,SUV,Gas,3000.0
مرسيدس CLA 180 2018,"1,200,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"220,000 كم",Black,Coupe,Gas,1600.0
أفاتر 12 2025,"3,282,500 ج.م.",أفاتر,جديدة,أوتوماتيك,,Gray,Coupe,Electric,
هيونداى توسان 2019,"1,175,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"130,000 كم",Black,SUV,Gas,1600.0
مرسيدس C200 2026,"3,950,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,White,Sedan,Gas,1500.0
هيونداى أكسنت RB 2012,"370,000 ج.م.",هيونداى,مستعملة,مانيوال,"180,000 كم",Bronze,Sedan,Gas,1500.0
مرسيدس V300 2026,"8,000,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Van,Gas,2000.0
بي واى دى تانج إل 2025,"2,310,000 ج.م.",بي واى دى,جديدة,أوتوماتيك,,Gray,SUV,Electric,
إم جي ZS 2026,"1,100,900 ج.م.",إم جي,جديدة,أوتوماتيك,,Blue,SUV,Gas,1500.0
مرسيدس E200 2021,"3,500,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"35,000 كم",Black,Sedan,Gas,2000.0
هيونداى توسان NX4e 2021,"1,500,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"72,000 كم",Navy Blue,SUV,Gas,1600.0
نيسان سنترا 2026,"888,800 ج.م.",نيسان,جديدة,أوتوماتيك,,Silver,Sedan,Gas,1600.0
كيا سيراتو 2014,"600,000 ج.م.",كيا,مستعملة,أوتوماتيك,"290,000 كم",Black,Sedan,Gas,1500.0
أوبل أسترا 2020,"740,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"72,500 كم",White,Sedan,Gas,1400.0
بي واى دى F3 2015,"325,000 ج.م.",بي واى دى,مستعملة,مانيوال,"250,000 كم",White,Sedan,Gas,1600.0
مرسيدس C200 2022,"2,800,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"51,000 كم",Champagne,Sedan,Gas,1500.0
بي ام دبليو X1 2019,"1,650,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"108,000 كم",Black,SUV,Gas,2000.0
ستروين سى اليزيه 2019,"610,000 ج.م.",ستروين,مستعملة,أوتوماتيك,"76,000 كم",Navy Blue,Sedan,Diesel,1600.0
بيجو 301 2015,"470,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"153,000 كم",Black,Sedan,Gas,1600.0
كيا كارينز 2016,"820,000 ج.م.",كيا,مستعملة,أوتوماتيك,"100,000 كم",,,,
تويوتا كورولا 2024,"1,250,000 ج.م.",تويوتا,مستعملة,أوتوماتيك,"5,000 كم",White,Sedan,Gas,1600.0
كيا سيراتو 2018,"730,000 ج.م.",كيا,مستعملة,أوتوماتيك,"170,000 كم",Gray,Sedan,Gas,1600.0
شيفروليه ماليبو 2019,"1,050,000 ج.م.",شيفروليه,مستعملة,أوتوماتيك,"145,000 كم",Gray,Sedan,Gas,1500.0
بي ام دبليو 530i 2019,"2,800,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"49,000 كم",Gray,Sedan,Gas,2000.0
فولكس فاجن بولو 2014,"450,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"307,600 كم",Blue,Sedan,Gas,1600.0
بي ام دبليو X5 2021,"3,850,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"120,000 كم",Black,SUV,Gas,4400.0
أودي A3 2020,"1,500,000 ج.م.",أودي,مستعملة,أوتوماتيك,"57,000 كم",Red,Sedan,Gas,1400.0
بي ام دبليو X1 2025,"3,000,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,50 كم,Black,SUV,Gas,1500.0
إم جي 6 2022,"790,000 ج.م.",إم جي,مستعملة,أوتوماتيك,"151,000 كم",White,Sedan,Gas,1500.0
نيسان صني 2003,"390,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"330,000 كم",White,Sedan,Gas,1300.0
رينو لوجان 2016,"370,000 ج.م.",رينو,مستعملة,أوتوماتيك,"191,000 كم",Red,Sedan,Gas,1600.0
مرسيدس C180 2023,"2,600,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"4,000 كم",Silver,Sedan,Gas,1400.0
بيجو 3008 2021,"1,250,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"35,000 كم",Bronze,SUV,Gas,1600.0
نيسان سنترا 2017,"700,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"40,000 كم",Bronze,Sedan,Gas,1600.0
هيونداى I30 2011,"450,000 ج.م.",هيونداى,مستعملة,مانيوال,"90,000 كم",Black,SUV,Gas,1500.0
مرسيدس CLA 180 2021,"1,900,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"115,000 كم",White,Sedan,Gas,1600.0
كيا K3 2022,"1,200,000 ج.م.",كيا,جديدة,أوتوماتيك,,White,Sedan,Gas,1600.0
هيونداى النترا CN7 2024,"1,550,000 ج.م.",هيونداى,جديدة,أوتوماتيك,,Black,Sedan,Gas,1600.0
كيا K3 2022,"1,350,000 ج.م.",كيا,مستعملة,أوتوماتيك,50 كم,White,Sedan,Gas,1600.0
هيونداى فيرنا 2012,"300,000 ج.م.",هيونداى,مستعملة,مانيوال,"130,000 كم",Silver,Sedan,Gas,1600.0
فيات تمبرا 1990,"125,000 ج.م.",فيات,مستعملة,مانيوال,"250,000 كم",Silver,Sedan,Gas,1600.0
هيونداى توسان 2019,"1,330,000 ج.م.",هيونداى,مستعملة,أوتوماتيك,"90,000 كم",White,SUV,Gas,1600.0
أوبل انسيجنيا 2016,"690,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"160,000 كم",Brown,Sedan,Gas,1600.0
ساوايست S 07 2026,"1,400,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,Gray,SUV,Gas,1600.0
نيسان قشقاي 2020,"850,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"145,000 كم",Maroon,SUV,Gas,1400.0
بيجو 3008 2020,"1,150,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"45,000 كم",White,SUV,Gas,1600.0
مرسيدس C 280 2009,"1,100,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"171,000 كم",Silver,Sedan,Gas,3000.0
أودي Q3 2023,"2,300,000 ج.م.",أودي,مستعملة,أوتوماتيك,"9,000 كم",White,SUV,Gas,1500.0
هيونداى فرنا 1.6 2015,"380,000 ج.م.",هيونداى,مستعملة,مانيوال,"125,000 كم",Champagne,Sedan,Gas,1600.0
سكودا اوكتافيا A4 2009,"400,000 ج.م.",سكودا,مستعملة,أوتوماتيك,"260,000 كم",Black,Sedan,Gas,2000.0
أوبل أسترا 2015,"620,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"120,000 كم",Dark Grey,Sedan,Gas,1600.0
تويوتا اوربان كروزر 2025,"1,380,000 ج.م.",تويوتا,جديدة,أوتوماتيك,,Silver,SUV,Gas,1500.0
هيونداى أكسنت RB 2026,"840,000 ج.م.",هيونداى,جديدة,أوتوماتيك,,Navy Blue,Sedan,Gas,1500.0
رينج روفر VOGUE 2021,"8,500,000 ج.م.",رينج روفر,مستعملة,أوتوماتيك,"34,000 كم",Black,SUV,Gas,5000.0
دايو جوليت 2004,"250,000 ج.م.",دايو,مستعملة,مانيوال,430 كم,Black,Hatchback,Gas,1600.0
دايو نوبيرا 2000,"240,000 ج.م.",دايو,مستعملة,أوتوماتيك,"240,000 كم",Silver,Sedan,Gas,1600.0
ساوايست S 06 2026,"1,385,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,White,SUV,Gas,1600.0
سيات ابيزا 2011,"430,000 ج.م.",سيات,مستعملة,أوتوماتيك,"138,000 كم",Black,Hatchback,Gas,1600.0
شيفروليه كروز 2014,"480,000 ج.م.",شيفروليه,مستعملة,أوتوماتيك,"150,000 كم",Silver,Sedan,Gas,1600.0
هيونداى فرنا 1.6 2009,"280,000 ج.م.",هيونداى,مستعملة,مانيوال,"300,000 كم",Black,Sedan,Natural Gas,1600.0
أوبل أسترا 2021,"750,000 ج.م.",أوبل,مستعملة,أوتوماتيك,"124,000 كم",,,,
شانجان CS55 2026,"1,320,000 ج.م.",شانجان,جديدة,أوتوماتيك,,White,SUV,Gas,1500.0
دايو جوليت 2004,"240,000 ج.م.",دايو,مستعملة,مانيوال,"430,000 كم",Black,Sedan,Gas,1600.0
بيجو 406 2004,"320,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"306,000 كم",Maroon,Sedan,Gas,2000.0
أفاتر 12 2025,"2,700,000 ج.م.",أفاتر,جديدة,أوتوماتيك,,Gray,Sedan,Electric,
كيا إكسيد 2024,"1,190,000 ج.م.",كيا,مستعملة,أوتوماتيك,"60,000 كم",White,Hatchback,Gas,1600.0
سيات اتيكا 2020,"1,100,000 ج.م.",سيات,مستعملة,أوتوماتيك,"125,000 كم",Red,SUV,Gas,1400.0
فيات تيبو 2021,"740,000 ج.م.",فيات,مستعملة,أوتوماتيك,"130,000 كم",Navy Blue,Sedan,Gas,1600.0
مازيراتي جريكاليه 2024,"5,650,000 ج.م.",مازيراتي,جديدة,أوتوماتيك,,Silver,SUV,Gas,2000.0
شيري تيجو 7 2021,"690,000 ج.م.",شيري,مستعملة,أوتوماتيك,"110,000 كم",Maroon,SUV,Gas,1500.0
مرسيدس E200 2023,"4,500,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"30,000 كم",White,Sedan,Diesel,2000.0
سوبارو امبريزا 2009,"450,000 ج.م.",سوبارو,مستعملة,أوتوماتيك,"279,534 كم",Gray,Sedan,Gas,1500.0
سوزوكي فان 2023,"520,000 ج.م.",سوزوكي,مستعملة,مانيوال,700 كم,Gray,Van,Gas,1000.0
أودي Q8 2024,"7,000,000 ج.م.",أودي,جديدة,أوتوماتيك,,Red,Coupe,Gas,2000.0
بي ام دبليو X3 2016,"1,450,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"163,000 كم",Gray,SUV,Gas,2000.0
جيتور X90 Plus 2025,"1,480,000 ج.م.",جيتور,مستعملة,أوتوماتيك,"23,000 كم",Beige,SUV,Gas,1600.0
مرسيدس GLE 450 2024,"5,900,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,White,SUV,Gas,3000.0
بروتون جين 2 2008,"280,000 ج.م.",بروتون,مستعملة,أوتوماتيك,"298,000 كم",Black,Sedan,Gas,1600.0
سامسونج Q5 1999,"300,000 ج.م.",سامسونج,مستعملة,أوتوماتيك,"385,000 كم",Green,Sedan,Gas,2000.0
دي إس DS 4 2023,"1,800,000 ج.م.",دي إس,مستعملة,أوتوماتيك,"43,000 كم",White,SUV,Gas,1600.0
مرسيدس CLA 200 2020,"2,180,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"108,000 كم",Gray,Sedan,Gas,1300.0
سكودا اوكتافيا 2022,"1,280,000 ج.م.",سكودا,مستعملة,أوتوماتيك,"75,000 كم",Black,Sedan,Gas,1400.0
مرسيدس GLC 300 2024,"5,000,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"2,000 كم",Champagne,Coupe,Gas,2000.0
نيسان سنترا 2016,"550,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"135,000 كم",Red,Sedan,Gas,1600.0
رينو لوجان 2011,"289,000 ج.م.",رينو,مستعملة,مانيوال,"213,000 كم",Dark Grey,Sedan,Gas,1600.0
دي إف إس كيه ايجل 580 2018,"700,000 ج.م.",دي إف إس كيه,مستعملة,أوتوماتيك,"46,500 كم",Maroon,SUV,Gas,1500.0
رينو كارديان 2026,"870,000 ج.م.",رينو,جديدة,أوتوماتيك,,Gray,SUV,Gas,1000.0
فيات تيبو 2024,"1,150,000 ج.م.",فيات,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1600.0
بي ام دبليو 740i 2019,"4,100,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"25,000 كم",Black,Sedan,Gas,3000.0
مرسيدس GLS 580 2023,"7,450,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"17,000 كم",Gray,SUV,Gas,4000.0
مازيراتي ليفانتى 2022,"4,500,000 ج.م.",مازيراتي,مستعملة,أوتوماتيك,"35,000 كم",Black,SUV,Gas,2000.0
شيري تيجو 8 2026,"1,220,000 ج.م.",شيري,جديدة,أوتوماتيك,,Blue,SUV,Gas,1500.0
بروتون ساجا 2026,"650,000 ج.م.",بروتون,جديدة,أوتوماتيك,,White,Sedan,Gas,1300.0
سكودا اوكتافيا A8 2026,"1,600,000 ج.م.",سكودا,جديدة,أوتوماتيك,,White,Sedan,Gas,1400.0
إم جي 5 2026,"900,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Black,Sedan,Gas,1500.0
سوزوكي بالينو 2025,"939,300 ج.م.",سوزوكي,جديدة,أوتوماتيك,,Black,Hatchback,Gas,1400.0
فيات 500X 2026,"960,000 ج.م.",فيات,جديدة,أوتوماتيك,,Blue,SUV,Gas,1400.0
كيا سبورتاج 2025,"1,730,000 ج.م.",كيا,جديدة,أوتوماتيك,,White,SUV,Gas,1600.0
سوزوكي سويفت 2026,"800,000 ج.م.",سوزوكي,جديدة,أوتوماتيك,,White,Hatchback,Gas,1200.0
شيري تيجو 7 2026,"945,000 ج.م.",شيري,جديدة,أوتوماتيك,,Blue,SUV,Gas,1500.0
شيري تيجو 4 برو 2026,"890,000 ج.م.",شيري,جديدة,أوتوماتيك,,White,SUV,Gas,1500.0
شيفروليه اوبترا 2026,"725,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1500.0
سانج يونج توريس 2024,"1,680,000 ج.م.",سانج يونج,جديدة,أوتوماتيك,,White,SUV,Gas,1500.0
نيسان سنترا 2026,"880,000 ج.م.",نيسان,جديدة,أوتوماتيك,,Red,Sedan,Gas,1600.0
هيونداى النترا CN7 2025,"2,300,000 ج.م.",هيونداى,جديدة,أوتوماتيك,,White,Sedan,Gas,1500.0
هيونداى النترا AD 2026,"920,000 ج.م.",هيونداى,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1600.0
رينو داستر 2026,"1,150,000 ج.م.",رينو,جديدة,أوتوماتيك,,White,SUV,Gas,1300.0
رينو تاليانت 2026,"695,000 ج.م.",رينو,جديدة,أوتوماتيك,,White,Sedan,Gas,1000.0
ميتسوبيشي اكليبس كروس 2025,"1,330,000 ج.م.",ميتسوبيشي,جديدة,أوتوماتيك,,Red,SUV,Gas,1500.0
بايك U5 Plus 2026,"875,000 ج.م.",بايك,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1500.0
أوبل موكا 2026,"1,360,000 ج.م.",أوبل,جديدة,أوتوماتيك,,White,SUV,Gas,1200.0
إم جي One 2026,"1,360,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Red,SUV,Gas,1500.0
سكودا كودياك 2026,"2,400,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Gray,SUV,Gas,1400.0
ستروين C5 اير كروس 2020,"1,100,000 ج.م.",ستروين,مستعملة,أوتوماتيك,"70,000 كم",Black,SUV,Gas,1600.0
مرسيدس C200 2025,"4,150,000 ج.م.",مرسيدس,جديدة,أوتوماتيك,,Black,Sedan,Gas,2000.0
مرسيدس C180 2025,"3,145,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"20,000 كم",Gray,Sedan,Gas,1500.0
مرسيدس C180 2026,"3,675,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,10 كم,White,Sedan,Gas,1500.0
مرسيدس C180 2024,"3,375,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"10,000 كم",Black,Sedan,Gas,1500.0
فولكس فاجن باسات 2014,"930,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"140,000 كم",Blue,Sedan,Gas,1400.0
ساوايست S 06 2026,"1,384,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,White,SUV,Gas,1600.0
شيفروليه لانوس 2014,"300,000 ج.م.",شيفروليه,مستعملة,مانيوال,"250,000 كم",Silver,Sedan,Gas,1500.0
ساوايست S 06 2026,"1,384,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,Black,SUV,Gas,1600.0
أفاتر 11 2025,"2,990,000 ج.م.",أفاتر,جديدة,أوتوماتيك,,Gray,SUV,Electric,
شانجان CS55 بلس 2026,"1,180,000 ج.م.",شانجان,جديدة,أوتوماتيك,,Beige,Hatchback,Gas,1500.0
شيفروليه اوبترا 2026,"725,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Black,Sedan,Gas,1500.0
جيتور داشينج 2026,"1,415,000 ج.م.",جيتور,جديدة,أوتوماتيك,,White,Hatchback,Gas,1600.0
سكودا اوكتافيا 2026,"1,850,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1400.0
سكودا سوبيرب 2026,"2,500,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Gray,Sedan,Gas,2000.0
فولكس فاجن تيجوان 2024,"2,020,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"29,000 كم",Silver,SUV,Gas,1400.0
ميتسوبيشي لانسر 2011,"590,000 ج.م.",ميتسوبيشي,مستعملة,أوتوماتيك,210 كم,Silver,Sedan,Gas,1600.0
سامسونج Q5 1999,"250,000 ج.م.",سامسونج,مستعملة,أوتوماتيك,"200,000 كم",Bronze,Sedan,Gas,2000.0
بي ام دبليو 320i 2014,"1,450,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"67,646 كم",Navy Blue,Sedan,Gas,2000.0
نيسان قشقاي 2017,"700,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"119,000 كم",Black,SUV,Gas,1200.0
كوبرا ليون 2026,"1,845,000 ج.م.",كوبرا,جديدة,أوتوماتيك,,Gray,Hatchback,Gas,1400.0
إم جي 5 2026,"900,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Blue,Sedan,Gas,1500.0
مرسيدس C180 2022,"2,800,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,100 كم,Red,Sedan,Gas,1500.0
بيجو 5008 2020,"1,700,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"20,000 كم",Gray,SUV,Gas,1600.0
مرسيدس CLA 200 2022,"2,300,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"40,000 كم",Black,Sedan,Gas,1300.0
مرسيدس CLS 350 2019,"3,500,000 ج.م.",مرسيدس,مستعملة,أوتوماتيك,"60,000 كم",White,Sedan,Gas,2000.0
لاند روفر رانج روفر 2020,"4,800,000 ج.م.",لاند روفر,مستعملة,أوتوماتيك,"85,000 كم",Gray,SUV,Gas,2000.0
بورش كيان 2020,"4,100,000 ج.م.",بورش,مستعملة,أوتوماتيك,"85,000 كم",Black,SUV,Gas,2000.0
بي ام دبليو 430i كابورليه 2022,"4,200,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"15,000 كم",White,Cabriolet,Gas,2000.0
لاند روفر رانج روفر 2021,"6,000,000 ج.م.",لاند روفر,مستعملة,أوتوماتيك,30 كم,Dark Grey,SUV,Hybrid,2000.0
بي ام دبليو X7 2021,"6,500,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"18,000 كم",Black,SUV,Gas,4400.0
سكودا كودياك 2026,"3,100,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Black,SUV,Gas,1400.0
